Con,Contp,PP,PPName,Reg,AgtId,Ver,Agt,Dat,Status,Lgt,N_characters,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,Loc1ISO,Loc2ISO,Loc1GWNO,Loc2GWNO,UcdpCon,UcdpAgr,PamAgr,CowWar,Interim,WggPar,WggGenQuot,WggEffPart,WggCitizen,WggParOth,WggEq,WggEqGen,WggSocEq,WggEqOth,WggGrp,WggIndNom,WggRefDisp,WggPreg,WggGrpOth,WggIntLaw,WggHR,WggHrSta,WggUnsc,WggIntLawOth,WggNewInst,WggInstWom,WggInf,WggRecon,WggNewInstOth,WggVio,WggVioSex,WggVioGen,WggVioProt,WggVioOth,WggTraJus,WggPast,WggPri,WggTraJusOth,WggInstRef,WggConst,WggLawRef,WggJud,WggPol,WggDdr,WggPubAdm,WggInstRefOth,WggDev,WggDevGen,WggRehab,WggEdu,WggHea,WggRepro,WggDevOth,WggImpl,WggImplRole,WggImplSign,WggImplOth,WggOth
Afghanistan,Government,2,"Afghanistan: 2000s Post-intervention process","Europe and Eurasia",864,1,"Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference)",2012-07-08,"Multiparty signed/agreed",14,39746,InterIntra,Imp,ExtSub,"Not signed, agreement mentions the following parties as having produced it: The Afghan Government and the International Community (representatives from 55 countries and 25 international and other organizations from around the world) ","Ambassador Kazuo Kodama, Chargé d’affaires ad interim Permanent Mission of Japan to the United Nations
","Page 2, Preamble, 1
...
These undertakings are built on the  outcome of the  Bonn Conference in December 2011, where the Afghan Government and the International Community mutually renewed their long-term commitments in the areas of governance, security, peace process, economic and social development, and regional cooperation, as well as on the outcomes of the previous international conferences such as the London Conference in January 2010 and the Kabul Conference in July 2010. 

Page 3, Preamble, 4
...
Today in Tokyo, the Afghan Government and the International Community succeeded in transforming their mutual commitments made in Bonn to cooperate throughout the Transformation Decade into a solid and credible framework focused on the priorities of the Afghan Government as contained in its strategy paper Towards Self-Reliance. 

Page 4, Security and Peace Process, 9
...
The Participants reaffirmed the importance of the peace and reconciliation process with a view to ending the ongoing violence in the country and restoring lasting peace and security as per the UN Security Council Resolutions and as stated in the London and Kabul Communiqués, and reconfirmed in the Bonn Conclusions. 

Page 5, Governance and Strategy for Economic Self-Reliance, 14
...
The International Community welcomed the Afghan strategy, and reaffirmed its commitment of aligning 80 percent of aid with the NPPs and channeling at least 50 percent of its development assistance through the national budget of the Afghan Government in accordance with the London and Kabul Communiqués. 

Page 7, Regional Cooperation, 19
...
The Participants welcomed the conclusion of the Afghanistan-Pakistan Transit Trade Agreement (APTTA), the transit agreement between Afghanistan and Tajikistan, and the Agreement on Cross-Border Transport of Persons, Vehicles, and Goods (CBTA) among Afghanistan, the Kyrgyz Republic and Tajikistan within the framework of CAREC.

Page 9, Tokyo Mutual Accountability Framework, 2
...
this accountability framework concretizes the mutual commitments decided in the Kabul Process and reaffirmed at the Bonn Conference by stipulating shared development and governance goals and a mechanism as described in this document to hold parties accountable for achieving them. ",AFG,,700,,333,NA,NA,225,No,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
Afghanistan,Government,2,"Afghanistan: 2000s Post-intervention process","Europe and Eurasia",709,1,"Renewed Commitment by the Afghan Government to the Afghan People and the International Community to Afghanistan (Kabul Conference Communique)",2010-07-22,"Multiparty signed/agreed",9,33137,InterIntra,Imp,ExtSub,"Not signed, agreement mentions the following parties as having produced it: The Government of the Islamic Republic of Afghanistan and the international community",,"Page 2, Principles of Effective Partnership, 8
...
In line with the London Conference Communiqué , restated their strong support for channeling at least 50% of development aid through the Afghan Government’s core budget within two years while, as committed at the London Conference, the Afghan Government achieves the necessary reforms to strengthen its public financial  management  systems, reduce corruption, improve budget execution, and increase revenue collection to finance key National Priority Programmes

Page 3, Governance, Rule of Law, and Human Rights, 9
...
Building on the London Conference commitments, the Government of Afghanistan, with the support of its international partners, pledged to...

Page 7, Regional Cooperation, 21
...
Participants re-affirmed their support for the objectives and principles laid out in the Kabul Declaration of 2002 on Good Neighborly Relations
...
Participants further recognized the need for greater regional coordination and extended their support to the inclusive vision set out in the Istanbul Statement on Friendship and Cooperation in the “Heart of Asia” of January 2010, which offers regionally-owned measures for enhanced regional cooperation

Page 7, Regional Cooperation, 23
Participants welcomed the conclusion of the Afghanistan-Pakistan Trade and Transit Agreement (APTTA), and look forward to its successful implementation 

Page 8, Regional Cooperation, 24
Participants underlined the importance of:
...
Integrated regional infrastructure projects, including transport; and encouraged both multilateral organisations and bilateral partners to promote such projects, including those presented in the Regional Cooperation Concept Paper submitted to the Kabul Conference",AFG,,700,,333,,,225,No,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0
Afghanistan,Government,2,"Afghanistan: 2000s Post-intervention process","Europe and Eurasia",707,1,"Communiqué of the Conference on Afghan Leadership, Regional Cooperation, International Partnership (London Conference Communique)",2010-01-28,"Multiparty signed/agreed",7,27083,InterIntra,Imp,ExtSub,"Not signed, agreement mentions the following parties as having produced it: The Government of the Islamic Republic of Afghanistan and the international community. ",,"Page 1, Afghan Leadership, Regional Cooperation, International Partnership, Article 3
The international community pledged to maintain its long-term commitment to Afghanistan, as previously set out in the 2001 Bonn Agreement, in the 2002 Tokyo Conference, the 2006 Afghanistan Compact, the 2008 Paris Declaration and the 2009 The Hague Conference Declaration. The international community re-affirmed its support for the relevant UN Security Council Resolutions upholding the security, stability and prosperity of Afghanistan and in particular the role of the UN itself in achieving this goal.

Page 5, Development and governance, 24
Conference Participants committed to helping the Government of Afghanistan’s anti-corruption efforts by providing assistance to the new institutions and committed to increase the transparency and effectiveness of its own aid in line with the June 2008 Paris Conference Declaration and the United Nations Convention Against Corruption.

Page 5, Development and governance, 27
...
Conference Participants therefore welcomed:
...
the contribution to multilateral anti-narcotics efforts by the Plan of Action of the Shanghai Cooperation Organisation Members, adopted in March 2009 by the Special Conference on Afghanistan in Moscow.

Page 6, Regional cooperation/international architecture, 28
...
This regional co-operation includes reaffirming the principles of the Good Neighbourly Relations Declaration of 2002",AFG,,700,,333,,,225,No,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Algeria,Government,3,"Algeria: Bouteflika Process","Middle East and North Africa",1595,1,"Project de charte pour la paix et la réconciliation nationale",2005-08-14,"Unilateral document",6,31542,Intra,SubPar,MultIss,"The Government of Algeria ",,"- Declaration of November 1954 ",DZA,,615,,386,,,875,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Government,3,"Algeria: Bouteflika Process","Middle East and North Africa",1737,1,"Civil Harmony Act",1999-07-13,"Unilateral document",7,17090,Intra,SubPar,Iss,"President and parliament of Algeria (signed by Abdelaziz Bouteflika, President of Algeria)",,,DZA,,615,,386,,,875,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola/Burundi/Central African Republic/Democratic Republic of Congo/Kenya/Republic of Congo/Rwanda/Sudan/Tanzania/Uganda/Zambia/(African Great Lakes)",Government,6,"African Great Lakes: Regional Process","Africa (excl MENA)",668,1,"Pact on Security, Stability, and Development in the Great Lakes Region",2006-12-15,"Multiparty signed/agreed",25,31012,InterIntra,Imp,ImpMod,"H.E. JOSE EDUARDO DOS SANTO, President of the Republic of Angola; H.E. FRANCOIS BOZIZE, President of the Central African Republic; H.E. JOSEPH KABILA, President of the Democratic Republic of Congo; H.E. PAUL KAGAME, President of the Republic of Rwanda; H.E. JAKAYA MRISHO KIKWETE, President of the United Republic of Tanzania; H.E. LEVY MWANAWASA President of the Republic of Zambia; H.E. PIERRE NKURUNZIZA,  President of the Republic of Burundi; H.E. DENIS SASSOU-NGUESSO, President of the Republic of Congo; H.E. MWAI KIBAKI, President of the Republic of Kenya; H.E. OMER HASSAN AHMED EL-BASHIR, President of the Republic of the Sudan; H.E. YOWERI KAGUTA MUSEVENI, President of the Republic of Uganda",,"Page 4, Preamble
... Determined to adopt and implement collectively the appropriate Programmes of Action, the Protocols and mechanisms to translate into reality the priority political options and the guiding principles of the Dar-es-Salaam Declaration;",,,,,283,,,905,No,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Angola/Burundi/Central African Republic/Democratic Republic of Congo/Kenya/Republic of Congo/Rwanda/Sudan/Tanzania/Uganda/Zambia/(African Great Lakes)",Government,6,"African Great Lakes: Regional Process","Africa (excl MENA)",349,1,"Dar-Es-Salaam Declaration on Peace, Security, Democracy and Development in the Great Lakes Region",2004-11-20,"Multiparty signed/agreed",13,25745,InterIntra,SubPar,MultIss,"H.E. JOSE EDUARDO DOS SANTOS, President of the Republic of Angola; H.E. DOMITIEN NDAYIZEYE, President of the Republic of Burundi; H.E. FRANCOIS BOZIZE, President of the Republic of the Central African Republic; H.E DENIS SASSOU NGUESSO, President of the Republic of Congo; H.E. JOSEPH KABILI, President of the Republic of the Democratic Republic of Congo; H.E. MWAI KIBAKI, President of the Republic of Kenya; H.E. PAUBL KAGAMGE, President of the Republic of Rawanda; H.E OMAR HASSAN AL-BASHIR, President of the Republic of the Sudan; H.E. BENJAMIN WILLIAM MKAPA, President of the Republic of Tanzania; H.E. YOWRI KAGUTA MOUSEVENI, President of the Republic of Uganda; H.E. LEVY MWANAWASA, President of the Republic of Zambia","Witnesses: H.E. THABO MBEKI, President of the Republic of South Africa; H.E. OMAR BONGO ONDIMBA, President of the Republic of Gabonese Republic; H.E BINGU WA MUTHARIKA, President of the Republic of Malawi; H.E. JOAQUIM CHISSANO, President of the Republic of Mozambique; H.E. SAM NUJOMA, President of the Republic of Namibia; H.E. OLUSEGUN OBASANJO, President of the Republic of Nigeria and current Chairperson of Africa Union; H.E. ROBERT G. MUGABE, President of the Republic of Zimbabwe; H.E. KOFI ANNAN, Secretary-General of the United Nations; H.E. ALPHA OUMAR KONARE, Chairperson of the African Union Commission",,,,,,283,,,905,No,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0
"Angola/Burundi/Central African Republic/Democratic Republic of Congo/Republic of Congo/Rwanda/South Africa/South Sudan/Tanzania/Uganda/Zambia/(African Great Lakes)",Government,6,"African Great Lakes: Regional Process","Africa (excl MENA)",789,1,"Peace, Security and Cooperation Framework for the Democratic Republic of the Congo and the region
",2013-02-24,"Multiparty signed/agreed",8,7236,InterIntra,Imp,ImpMod,"H.E. Mr Parfait Anicet Mbay, for Angola; H.E. Mr. Laurent Kavakure for Burundi; H.E. Mr. Paul Kagame, President of the Republic of Rwanda; H.E. Mr. Salva Kiir Mayardit, President of the Republic of South Sudan; H.E. Mr. Whyinter Kabimba, for Zambia",,,,,,,283,,,905,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,Government,10,"Bahrain: Reform-based peace process","Middle East and North Africa",1437,1,"National Action Charter of Bahrain",2001-02-15,"Unilateral document",14,44310,Intra,SubPar,MultIss,"Al Kahlifa Family of Bahrain, as well as ""50 national figures""",,,BHR,,692,,NA,NA,NA,NA,No,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Burundi,Government,16,"Burundi: Arusha and related peace process","Africa (excl MENA)",336,1,"Comprehensive Ceasefire Agreement between the Government of the Republic of Burundi and the Palipehutu - FNL",2006-09-07,"Multiparty signed/agreed",20,31235,Intra,Cea,Ceas,"The Government of Burundi and the Palipehutu - FNL","In the presence of: 
• H.E. Yoweri Kaguta Museveni, President of the Republic of Uganda.
• H.E. Jakaya Mrisho Kikwete, President of the United Republic of Tanzania.
• H.E. Thabo Mbeki, President of the Republic of South Africa.
• Hon Charles Nqakula, Facilitator.
• H.E. Bernard Makuza, Prime Minister of Rwanda.
• Hon R. Tuju, Minister of Foreign Affairs, Kenya.
• H.E. P Mazimhaka, Deputy Chairperson of the African Union Commission.
• Hon Dr SG Mwaie, Special Envoy of Zambia to the Great Lakes Region.
• Amb. N Satti, UN Special Envoy to the Great Lakes Region.

Guarantors: Chairperson of the Regional Inisitate for Peace In Burundi (President Uganda), Vice Chairperson of the Regional Initiative for Peace in Burundi. Witnesses, Rep of African Union, Special Envoy to the Great Lakes Region'In the presence of' President of Republi of Uganda, President of the United Republic of Tanzania, President of South Africa, Facilitator, Prime Minister of Fwanda, Minister of Foreign Affairs, Kenyua, Deputy Chairperson of the African Union Commission, Special Envoy of Zambia to the Great Lakes Region, UN Special Envoy to the Great Lakes Region.

","-the Dar es Salaam Agreement of Principles towards Lasting Peace, Security and Stability in Burundi, signed on 18 June 2006;",BDI,,516,,287,1336,,918,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
