Con;Reg;WggVio;WggVioSex;WggVioGen;WggIndNom;WggRefDisp;WggPreg;Year;;;;;;;;;
Afghanistan;Europe and Eurasia;1;0;1;0;0;0;2012;;;;;;;;;
Afghanistan;Europe and Eurasia;1;0;1;0;0;0;2010;;;;;;;;;
Afghanistan;Europe and Eurasia;1;0;1;0;0;0;2010;;;;;;;;;
Algeria;Middle East and North Africa;1;1;0;0;0;0;2005;;;;;;;;;
Algeria;Middle East and North Africa;1;1;0;0;0;0;1999;;;;;;;;;
Angola/Burundi/Central African Republic/Democratic Republic of Congo/Kenya/Republic of Congo/Rwanda/Sudan/Tanzania/Uganda/Zambia/(African Great Lakes);Africa (excl MENA);1;1;1;0;0;0;2006;;;;;;;;;
Angola/Burundi/Central African Republic/Democratic Republic of Congo/Kenya/Republic of Congo/Rwanda/Sudan/Tanzania/Uganda/Zambia/(African Great Lakes);Africa (excl MENA);1;1;0;0;1;0;2004;;;;;;;;;
Angola/Burundi/Central African Republic/Democratic Republic of Congo/Republic of Congo/Rwanda/South Africa/South Sudan/Tanzania/Uganda/Zambia/(African Great Lakes);Africa (excl MENA);1;1;0;0;0;0;2013;;;;;;;;;
Bahrain;Middle East and North Africa;0;0;0;0;0;1;2001;;;Etiquetas de fila;Suma de WggVio;Suma de WggVioSex;Suma de WggVioGen;Suma de WggIndNom;Suma de WggRefDisp;Suma de WggPreg
Burundi;Africa (excl MENA);1;1;0;0;0;0;2006;;;Africa (excl MENA);46;31;25;1;9;9
Burundi;Africa (excl MENA);1;1;0;0;0;0;2002;;;Americas;9;8;3;9;3;7
Burundi;Africa (excl MENA);1;1;1;0;1;0;2000;;;Asia and Pacific;20;12;9;1;3;4
Central African Republic;Africa (excl MENA);1;1;1;0;0;0;2019;;;Cross-regional;2;0;2;0;0;0
Central African Republic;Africa (excl MENA);1;1;0;0;0;0;2014;;;Europe and Eurasia;4;1;3;0;0;2
Central African Republic;Africa (excl MENA);1;0;1;0;0;0;2013;;;Middle East and North Africa;6;4;2;0;3;5
Central African Republic;Africa (excl MENA);1;1;0;0;0;0;2013;;;Total general;87;56;44;11;18;27
Central African Republic;Africa (excl MENA);1;1;0;0;0;0;2013;;;;;;;;;
Colombia;Americas;1;1;1;1;1;1;2016;;;;;;;;;
Colombia;Americas;1;0;1;0;0;0;2016;;;;;;;;;
Colombia;Americas;1;1;1;0;1;0;2015;;;;;;;;;
